index,width,name,STT
0," 27,5m",3/2,1
1, 34m,30/4,2
2, 21m,2/9,3
3, 7.5 m,Phan Đình Giót,4
4," 5,5 m", Lý Tế Xuyên,5
5," 5,5m", Nguyễn Trác,6
6, 5.5 m, Phạm Thiều,7
7, 6.3 m, Phan Bội Châu,8
8, 5.5 m, Phần Lăng 1,9
9, 5.5 m, Phần Lăng 2,10
10, 5.5 m, Phần Lăng 3,11
11, 5.5 m, Phần Lăng 4,12
12, 5.5 m, Phần Lăng 5,13
13,5.5 m, Phong Bắc,14
14, 5.5 m, Quán Khải 1,15
15, , Tân An 1,16
16, , Tân An 3,17
17, , Tân An2,18
18," 10,5m", Tôn Thất Đạm,19
19, 9 m, Triệu Nữ Vương,20
20," 5,5 m", Văn Cận,21
21," 5,5m", Vân Đài Nữ Sĩ,22
22," 7,5 m", Vũ Ngọc Phan,23
23," 5,5 m", Xuân Đán 2,24
24, ,Alexandre Yersin (Yersin),25
25," 5,5m",An Bắc 2,26
26," 5,5m",An Bắc 3,27
27," 3,75m",An Cư 1,28
28," 3,75m",An Cư 2,29
29," 3,75m",An Cư 3,30
30," 5,5m",An Cư 4,31
31," 5,5m",An Cư 5,32
32," 5,5m",An Cư 6,33
33," 5,5m",An Cư 7,34
34, 15m,An Dương Vương,35
35," 7,5m",An Đồn 1,36
36," 5,5m",An Đồn 2,37
37," rộng 5,5m",An Đồn 3,38
38," 7,5m",An Đồn 4,39
39," 5,5m",An Đồn 5,40
40," 2,5m",An Hải 1,41
41," 3,5m",An Hải 10,42
42," 3,5m",An Hải 11,43
43," 3,5m",An Hải 12,44
44," 3,5m",An Hải 14,45
45, 4m,An Hải 15,46
46, 4m,An Hải 16,47
47, 4m,An Hải 17,48
48, 4m,An Hải 18,49
49, 4m,An Hải 19,50
50," 5,5m",An Hải 2,51
51," 5,5m",An Hải 20,52
52, 4m,An Hải 21,53
53," 5,5m",An Hải 3,54
54," 5,5m",An Hải 4,55
55," 3,5m",An Hải 5,56
56," 3,5m",An Hải 6,57
57," 5,5m",An Hải 7,58
58," 5,5m",An Hải 8,59
59," 5,5m",An Hải 9,60
60," 3,75m",An Hải Bắc 1,61
61," 3,75m",An Hải Bắc 2,62
62," 3,75m",An Hải Bắc 3,63
63," 3,75m",An Hải Bắc 4,64
64," 3,75m",An Hải Bắc 5,65
65," 3,75m",An Hải Bắc 6,66
66," 5,5m",An Hải Bắc 7,67
67," 3,75m",An Hải Bắc 8,68
68," 7,5m",An Hoà 1,69
69," 3,5m",An Hoà 10,70
70," 3,5m",An Hoà 11,71
71," 7,5m",An Hoà 12,72
72," 5,5m",An Hoà 2,73
73," 5,5m",An Hoà 3,74
74," 7,5m",An Hoà 4,75
75," 5,5m",An Hoà 5,76
76," 5,5m",An Hoà 6,77
77," 5,5m",An Hoà 7,78
78," 5,5m",An Hoà 8,79
79," 7,5m",An Hoà 9,80
80, 15m,An Nông,81
81," 5,5m",An Nhơn 1,82
82," 3,75m",An Nhơn 10,83
83," 3,75m",An Nhơn 11,84
84," 5,5m",An Nhơn 2,85
85," 5,5m",An Nhơn 3,86
86," 3,75m",An Nhơn 4,87
87," 3,75m",An Nhơn 5,88
88," 5,5m",An Nhơn 6,89
89," 3,5m và 5,5m",An Nhơn 7,90
90," 3,5m và 5,5m",An Nhơn 8,91
91," 3,75m",An Nhơn 9,92
92," 7,5m",An Tư Công Chúa,93
93," 7,5m",An Thượng 1,94
94," 5,5m",An Thượng 10,95
95," 5,5m",An Thượng 11,96
96," 3,5m",An Thượng 12,97
97," 3,5m",An Thượng 14,98
98," 5,5m",An Thượng 15,99
99," 3,5m",An Thượng 16,100
100," 5,5m",An Thượng 17,101
101," 3,5m",An Thượng 18,102
102," 3,5m",An Thượng 19,103
103," 7,5m",An Thượng 2,104
104," 5,5m",An Thượng 23,105
105," có đoạn 5,5m; có đoạn 5m",An Thượng 24,106
106," 5,5m",An Thượng 26,107
107," 5,5m",An Thượng 27,108
108," 5,5m",An Thượng 28,109
109," 5,5m",An Thượng 29,110
110," 7,5m",An Thượng 3,111
111," 5,5m",An Thượng 30,112
112," 5,5m",An Thượng 31,113
113," 5,5m",An Thượng 32,114
114," 5,5m",An Thượng 33,115
115," 5,5m",An Thượng 34,116
116," có đoạn 7,5m, có đoạn 5,5m",An Thượng 35,117
117," 7,5m",An Thượng 36,118
118," 7,5m",An Thượng 4,119
119," 3,5m",An Thượng 5,120
121," 5,5m",An Thượng 6,121
122," 3,5m",An Thượng 7,122
123," 3,5m",An Thượng 8,123
124," 5,5m",An Thượng 9,124
125," 7,5m",An Trung 1,125
126," 7,5m",An Trung 2,126
127," 10,5m",An Trung 3,127
128," 5,5m",An Vĩnh,128
129," 5,5m",An Xuân 1,129
130," 5,5m",An Xuân 2,130
131," 7,5m",Anh Thơ,131
132," 5,5m",Ấp Bắc,132
133," 7,5m và 5,5m",Ấp Bắc nối dài,133
134," 8,5m ","Âu Cơ, ",134
135," 5,5m ",Bà Bang Nhãn,135
136, 6m ,Ba Đình,136
137," 7,5m ",Ba Gia,137
138," 5,5m",Bá Giáng 1,138
139," 5,5m",Bá Giáng 10,139
140," 5,5m",Bá Giáng 11,140
141," 5,5m",Bá Giáng 2,141
142," 5,5m",Bá Giáng 3,142
143," 5,5m",Bá Giáng 4,143
144," 5,5m",Bá Giáng 5,144
145," 5,5m",Bá Giáng 6,145
146," 5,5m",Bá Giáng 7,146
147," 5,5m",Bá Giáng 8,147
148," 5,5m",Bá Giáng 9,148
149, ,Bà Huyện Thanh Quan,149
150, 12m,Bạch Đằng,150
151," 5,5m",Bạch Thái Bưởi,151
152," 5,5m",Bãi Sậy,152
153," 5,5m",Bát Nàn Công Chúa,153
154," 5,5m",Bàu Hạc 1,154
155," 3,5m",Bàu Hạc 2,155
156," 3,5m",Bàu Hạc 3,156
157," 3,5m",Bàu Hạc 4,157
158," 3,5m",Bàu Hạc 5,158
159, 6m,Bàu Hạc 6,159
160," 5,5m",Bàu Làng,160
161," 5,5m",Bàu Mạc 1,161
162," 5,5m",Bàu Mạc 10,162
163," 5,5m",Bàu Mạc 11,163
164," 7,5m",Bàu Mạc 12,164
165," 5,5m",Bàu Mạc 14,165
166," 5,5m",Bàu Mạc 15,166
167," 5,5m",Bàu Mạc 2,167
168," 5,5m",Bàu Mạc 3,168
169," 5,5m",Bàu Mạc 4,169
170," 5,5m",Bàu Mạc 5,170
171," 5,5m",Bàu Mạc 6,171
172," 5,5m",Bàu Mạc 7,172
173," 5,5m",Bàu Mạc 8,173
174," 7,5m",Bàu Mạc 9,174
175, ,Bàu Tràm 1,175
176, ,Bàu Tràm 2,176
177, ,Bàu Tràm 3,177
178, ,Bàu Tràm Trung,178
179," 3,5m",Bàu Trãng 1,179
180," 3,5m",Bàu Trãng 2,180
181," 5,5m",Bàu Trãng 3,181
182," 5,5m",Bàu Trãng 4,182
183," 5,5m",Bàu Trãng 5,183
184," 3,5m",Bàu Trãng 6,184
185," 5,5m",Bàu Trảng 7 (Khu dân cư Thanh Lộc Đán mới ),185
186," 7,5m",Bàu Vàng 1,186
187," 7,5m",Bàu Vàng 2,187
188," 7,5m",Bàu Vàng 3,188
189," 7,5m",Bàu Vàng 4,189
190," 7,5m",Bàu Vàng 5,190
191," 7,5m",Bàu Vàng 6,191
192," 4,5m",Bắc Đẩu,192
193, ,Bắc Sơn,193
194," 5,5m",Bế Văn Đàn,194
195," 5,5m",Bình Giã,195
196," 3,5m",Bình Hoà 1,196
197," 3,5m",Bình Hoà 10,197
198," 3,5m",Bình Hoà 11,198
199," 3,5m",Bình Hoà 12,199
200," rộng 3,75m",Bình Hòa 14,200
201," 3,5m",Bình Hoà 2,201
202," 3,5m",Bình Hoà 3,202
203, 6m,Bình Hoà 4,203
204," 3,5m",Bình Hoà 5,204
205," 3,5m",Bình Hoà 6,205
206," 3,5m",Bình Hoà 7,206
207," 3,5m",Bình Hoà 8,207
208," 3,5m",Bình Hoà 9,208
209, 5m,Bình Kỳ,209
210," 5,5m",Bình Minh 1,210
211," 5,5m",Bình Minh 2,211
212," 5,5m",Bình Minh 3,212
213," 5,5m",Bình Thái 1,213
214," 5,5m",Bình Thái 2,214
215," 5,5m",Bình Thái 3,215
216," 5,5m",Bùi Bỉnh Uyên,216
217, 5m,Bùi Chát,217
218," 3,5m",Bùi Hữu Nghĩa,218
219," 3,5m và 5,5m",Bùi Lâm,219
220," 10,5m và 15m",Bùi Quốc Hưng,220
221, 15m,Bùi Tá Hán,221
222," 7,5m",Bùi Thế Mỹ,222
223, 7m,Bùi Thị Xuân,223
224," 5,5m",Bùi Viện,224
225," 5,5m",Bùi Vịnh,225
226," 7,5m",Bùi Xuân Phái,226
227," 5,5m",Bùi Xương Tự ,227
228," 5,5m",Bùi Xương Trạch,228
229," 5,5m",Ca Văn Thỉnh,229
230," 5,5m",Cao Bá Nhạ,230
231," 5,5m",Cao Bá Quát,231
232," 5,5m",Cao Lỗ,232
233," 2 x 5,5m",Cao Sơn 1,233
234," 5,5m",Cao Sơn 2,234
235," 5,5m",Cao Sơn 3,235
236," 5,5m",Cao Sơn 4,236
237," 5,5m",Cao Sơn 5,237
238," 5,5m",Cao Sơn 6,238
239," 5,5m",Cao Sơn 7,239
240," 5,5m",Cao Sơn 8,240
241, 9m,Cao Thắng,241
242," 5,5m",Cao Xuân Dục,242
243," 7,5m",Cầm Bá Thước,243
244," 7,5m",Cẩm Bắc 1,244
245,0,Cẩm Bắc 10,245
246," 5,5m",Cẩm Bắc 11,246
247," 5,5m",Cẩm Bắc 12,247
248," 7,5m",Cẩm Bắc 2,248
249," 7,5m",Cẩm Bắc 3,249
250," 7,5m",Cẩm Bắc 4,250
252," 5,5m",Cẩm Bắc 5,251
253,0,Cẩm Bắc 6,252
254,0,Cẩm Bắc 7,253
255,0,Cẩm Bắc 8,254
256,0,Cẩm Bắc 9,255
257," 5,5m",Cẩm Chánh 1,256
258," 5,5m",Cẩm Chánh 2,257
259," 5,5m",Cẩm Chánh 3,258
260," 5,5m",Cẩm Chánh 4,259
261," 5,5m.",Cẩm Chánh 5,260
262,5.5 m,Cẩm Lệ,261
263," 5,5m",Cẩm Nam 1,262
264," 5,5m",Cẩm Nam 2,263
265," 5,5m",Cẩm Nam 3,264
266," 5,5m",Cẩm Nam 4,265
267," 5,5m",Cẩm Nam 5,266
268," 5,5m",Cẩm Nam 6,267
269," 5,5m",Cẩm Nam 7,268
270," 5,5m",Cẩm Nam 8,269
271," 4,5m",Cô Bắc,270
272," 7,5m",Cô Giang,271
273," 5,5m ",Cổ Mân 1,272
274," 5,5m ",Cổ Mân 2,273
275," 5,5m ",Cổ Mân 3,274
276," 3,75m ",Cổ Mân 4,275
277," 3,75m ",Cổ Mân 5,276
278," 3,75m ",Cổ Mân 6,277
279," 3,75m ",Cổ Mân 7,278
280," 5,5m ",Cổ Mân 8,279
281," 7,5m ",Cổ Mân 9,280
282," 5,5m",Cổ Mân Cúc 1,281
283," 5,5m",Cổ Mân Cúc 2,282
284," 5,5m",Cổ Mân Cúc 3,283
285," 5,5m",Cổ Mân Cúc 4,284
286," 5,5m",Cổ Mân Lan 1,285
287," 5,5m",Cổ Mân Lan 2,286
288," 5,5m",Cổ Mân Lan 3,287
289," 5,5m",Cổ Mân Lan 4,288
290," 5,5m",Cổ Mân Mai 1,289
291," 5,5m",Cổ Mân Mai 2,290
292," 5,5m",Cổ Mân Mai 3,291
293," 5,5m",Cổ Mân Mai 4,292
294," 5,5m",Cổ Mân Mai 5,293
295," 5,5m ",Cồn Dầu 1,294
296," 5,5m ",Cồn Dầu 2,295
297," 5,5m.",Cồn Dầu 3,296
298," 5,5m.",Cồn Dầu 4,297
299," 5,5m.",Cồn Dầu 5,298
300," 5,5m.",Cồn Dầu 6,299
301," 5,5m.",Cồn Dầu 7,300
302," 5,5m.",Cồn Dầu 8,301
303," 5,5m ",Cống Quỳnh,302
304," 5,5m",Cù Chính Lan,303
305," 7,5m",Châu Thị Vĩnh Tế,304
306, 5m,Châu Thượng Văn,305
307, 5m,Châu Văn Liêm,306
308, 5m,Chế Lan Viên,307
309," 10,5m và 15,5m",Chi Lăng,308
310," 5,5m",Chơn Tâm 1,309
311," 5,5m",Chơn Tâm 2,310
